step,row,col,x,y,action_idx,action_name,target_row,target_col,target_x,target_y,coverage,best_coverage,valid_actions,q_values,stop_reason
0,20,36,2.2749999999999986,-0.17499999999999982,,,,,,,0.1045,0.1045,[],[],
1,21,35,1.924999999999999,-0.5249999999999995,5,SW,21,35,1.924999999999999,-0.5249999999999995,0.1157,0.1157,"[0,1,2,3,4,5,6,7]","[19.502622604370117,59.214576721191406,64.40806579589844,64.48490905761719,60.68748474121094,65.93190002441406,18.83547019958496,62.29817199707031]",
2,21,34,1.5749999999999993,-0.5249999999999995,6,W,21,34,1.5749999999999993,-0.5249999999999995,0.1196,0.1196,"[0,1,2,3,4,5,6,7]","[17.226980209350586,20.39544105529785,62.371788024902344,66.74930572509766,58.22388458251953,66.0937271118164,67.02019500732422,56.66759490966797]",
3,22,33,1.2249999999999996,-0.8749999999999991,5,SW,22,33,1.2249999999999996,-0.8749999999999991,0.1298,0.1298,"[0,1,2,3,4,5,6,7]","[36.61313247680664,25.835491180419922,40.278316497802734,30.150726318359375,63.68443298339844,73.63623046875,69.9144058227539,73.35994720458984]",
4,22,32,0.875,-0.8749999999999991,6,W,22,32,0.875,-0.8749999999999991,0.1342,0.1342,"[0,1,2,3,4,5,6,7]","[28.208742141723633,17.21357536315918,48.767372131347656,56.62120056152344,59.96406555175781,64.05348205566406,68.24919891357422,66.62942504882812]",
5,21,31,0.5249999999999986,-0.5249999999999995,7,NW,21,31,0.5249999999999986,-0.5249999999999995,0.1356,0.1356,"[0,1,2,3,4,5,6,7]","[59.90804672241211,15.845810890197754,41.69192886352539,29.63686752319336,60.48320388793945,66.0819320678711,67.03241729736328,68.78313446044922]",
6,22,30,0.17499999999999893,-0.8749999999999991,5,SW,22,30,0.17499999999999893,-0.8749999999999991,0.1434,0.1434,"[0,1,2,3,4,5,6,7]","[45.967220306396484,57.27713394165039,48.93330001831055,26.850492477416992,30.67064666748047,80.73653411865234,58.2129020690918,55.72552490234375]",
7,23,29,-0.1750000000000007,-1.2249999999999996,5,SW,23,29,-0.1750000000000007,-1.2249999999999996,0.1565,0.1565,"[0,1,2,3,4,5,6]","[38.298954010009766,64.24634552001953,31.60098648071289,52.89383316040039,62.66401672363281,69.30596160888672,68.6601791381836,16.792499542236328]",
8,23,28,-0.5250000000000004,-1.2249999999999996,6,W,23,28,-0.5250000000000004,-1.2249999999999996,0.1687,0.1687,"[0,1,2,3,4,5,6,7]","[22.412343978881836,37.05696105957031,32.5418586730957,47.97350311279297,64.4420166015625,66.81713104248047,71.32455444335938,69.98754119873047]",
9,23,27,-0.875,-1.2249999999999996,6,W,23,27,-0.875,-1.2249999999999996,0.1799,0.1799,"[0,1,2,3,4,5,6,7]","[57.91900634765625,17.30617332458496,38.819053649902344,52.983123779296875,58.91261291503906,63.461883544921875,64.5163345336914,63.98090362548828]",
10,23,26,-1.2250000000000014,-1.2249999999999996,6,W,23,26,-1.2250000000000014,-1.2249999999999996,0.1877,0.1877,"[0,1,2,3,4,5,6,7]","[55.59002685546875,48.296878814697266,24.271484375,36.363929748535156,55.67302703857422,64.08647918701172,66.88446044921875,65.69219207763672]",
11,22,25,-1.575000000000001,-0.8749999999999991,7,NW,22,25,-1.575000000000001,-0.8749999999999991,0.2022,0.2022,"[0,1,2,3,4,5,6,7]","[64.46122741699219,17.47330093383789,17.21596908569336,56.82688522338867,62.56259536743164,61.0634651184082,67.80393981933594,68.52885437011719]",
12,21,24,-1.9250000000000007,-0.5249999999999995,7,NW,21,24,-1.9250000000000007,-0.5249999999999995,0.2178,0.2178,"[0,1,2,3,4,5,6,7]","[69.04523468017578,52.553916931152344,24.25688934326172,19.873382568359375,33.55772399902344,70.24962615966797,70.679443359375,73.37345123291016]",
13,20,23,-2.2750000000000004,-0.17499999999999982,7,NW,20,23,-2.2750000000000004,-0.17499999999999982,0.2368,0.2368,"[0,1,2,3,4,5,6,7]","[65.2586669921875,57.293495178222656,24.092954635620117,18.8331298828125,55.442420959472656,61.33228302001953,65.05936431884766,69.2969741821289]",
14,19,22,-2.625000000000001,0.1750000000000007,7,NW,19,22,-2.625000000000001,0.1750000000000007,0.2513,0.2513,"[0,1,2,3,4,5,6,7]","[66.69816589355469,42.37596130371094,29.78335189819336,20.51659393310547,54.60280227661133,62.12289047241211,68.79652404785156,71.56915283203125]",
15,18,21,-2.9750000000000005,0.5250000000000004,7,NW,18,21,-2.9750000000000005,0.5250000000000004,0.2669,0.2669,"[0,1,2,3,4,5,6,7]","[64.36759948730469,63.02367401123047,36.94285583496094,23.018110275268555,22.015769958496094,67.25021362304688,69.37737274169922,70.4847412109375]",
16,17,20,-3.325,0.875,7,NW,17,20,-3.325,0.875,0.2805,0.2805,"[0,1,2,3,4,5,6,7]","[60.21106719970703,55.21720886230469,37.907493591308594,34.450401306152344,33.96320343017578,64.07881927490234,64.10489654541016,66.2862319946289]",
